,calories,parsed_ingredients
250,820.0,"[562, 338, 261, 89, 63, 52, 17]"
251,932.0,"[529, 411, 395, 335, 230, 196, 83]"
252,124.0,"[553, 261, 247, 228, 89, 89, 1]"
253,285.0,"[405, 364, 200, 89]"
254,688.0,"[395, 335, 242, 89, 61]"
255,297.0,"[882, 282, 250, 97, 62, 40, 0]"
256,572.0,"[882, 560, 498, 405, 351, 337, 282, 269, 40, 27, 23, 21, 16, 13, 0]"
257,443.0,"[884, 692, 395, 367, 333, 282, 212, 174, 97, 38, 32, 25, 21, 0]"
258,751.0,"[882, 405, 351, 337, 282, 272, 212, 104, 0]"
259,553.0,"[882, 411, 274, 265, 217, 204, 150, 57, 40, 27, 21, 18, 0, 0]"
260,704.0,"[911, 884, 720, 436, 431, 149, 72, 61, 36, 22, 0]"
261,408.0,"[882, 405, 375, 362, 354, 233, 30, 27, 18, 0, 0]"
262,411.0,"[458, 393, 352, 280, 103, 72, 61, 27, 25, 21, 19, 0]"
263,193.0,"[882, 575, 378, 354, 70, 40, 31, 27, 19, 0]"
264,188.0,"[882, 352, 304, 280, 148, 103, 39, 36, 32, 27]"
265,39.0,"[405, 351, 341, 333, 282, 27, 16, 0, 0]"
266,305.0,"[405, 364, 93, 0]"
267,330.0,"[562, 405, 364, 322, 162, 0]"
268,208.0,"[405, 97, 46, 0]"
269,41.0,"[882, 494, 315, 276, 274, 131, 93, 57, 41, 22, 16, 0]"
270,161.0,"[882, 251, 72, 60, 18, 0]"
271,194.0,"[362, 0, 0]"
272,219.0,"[405, 322, 242, 233, 200, 61]"
273,85.0,"[882, 673, 274, 233, 66, 0]"
274,78.0,"[387, 270, 231, 28, 21]"
275,275.0,"[720, 334, 0, 0]"
276,656.0,"[902, 673, 334, 93, 72, 36, 32, 19]"
277,5474.0,"[882, 486, 411, 395, 387, 364, 357, 274, 230, 186, 128, 103, 100, 97, 93, 93, 82, 80, 67, 40, 40, 0]"
278,543.0,"[882, 720, 366, 276, 242, 111, 40, 36, 16, 0, 0]"
279,317.0,"[882, 720, 484, 330, 304, 298, 236, 104, 67, 60]"
280,763.0,"[882, 356, 237, 150, 62, 40, 23, 0]"
281,514.0,"[882, 567, 405, 384, 274, 80, 41, 27, 23, 21, 21, 16]"
282,316.0,"[337, 274, 110, 100, 83, 40, 37, 32, 27, 21, 18]"
283,603.0,"[882, 354, 276, 274, 271, 137, 40, 40, 38, 20, 16, 0]"
284,318.0,"[500, 494, 356, 157, 93, 54, 40, 40, 21]"
285,543.0,"[882, 508, 500, 400, 374, 250, 233, 196, 190, 180, 100, 83, 53, 41, 40, 36, 32, 22, 21]"
286,1050.0,"[882, 180, 141, 91, 81, 41, 40, 37, 27, 16, 0, 0]"
287,928.0,"[882, 500, 276, 274, 137, 83, 46, 41, 40, 36, 18, 17]"
288,948.0,"[882, 83, 41, 40]"
289,1003.0,"[882, 299, 265, 250, 212, 180, 97, 40, 17]"
290,1052.0,"[882, 364, 340, 310, 276, 133, 97, 83, 64, 40, 0, 0]"
291,546.0,"[882, 484, 351, 195, 194, 82, 25]"
292,62.0,"[884, 857, 374, 364, 250, 80, 67, 30, 0]"
293,3471.0,"[882, 500, 263, 217, 196, 179, 74, 46, 19]"
294,791.0,"[882, 486, 431, 351, 297, 274, 265, 93, 83, 40, 36, 27, 17]"
